chief_complaint_raw,cc_stripped
"massive pulmonary embolism, onset today",massive pulmonary embolism
"massive pulmonary embolism, since yesterday",massive pulmonary embolism
"massive pulmonary embolism, worsening with movement",massive pulmonary embolism
massive pulmonary embolism，worsening over hours,massive pulmonary embolism
massive pulmonary embolism with associated nausea,massive pulmonary embolism with associated nausea
massive pulmonary embolism with diaphoresis,massive pulmonary embolism with diaphoresis
massive pulmonary embolism with fever,massive pulmonary embolism with fever
massive pulmonary embolism with rigors,massive pulmonary embolism with rigors
massive pulmonary embolism with vomiting,massive pulmonary embolism with vomiting
massive transfusion requirement,massive transfusion requirement
massive transfusion requirement in known patient,massive transfusion requirement
"massive transfusion requirement, constant",massive transfusion requirement
"massive transfusion requirement, for 2 days",massive transfusion requirement
"massive transfusion requirement, intermittent",massive transfusion requirement
"massive transfusion requirement, no prior history of this",massive transfusion requirement
"massive transfusion requirement, onset today",massive transfusion requirement
"massive transfusion requirement, since yesterday",massive transfusion requirement
"massive transfusion requirement, worsening with movement",massive transfusion requirement
massive transfusion requirement，worsening over hours,massive transfusion requirement
massive transfusion requirement with associated nausea,massive transfusion requirement with associated nausea
massive transfusion requirement with diaphoresis,massive transfusion requirement with diaphoresis
massive transfusion requirement with fever,massive transfusion requirement with fever
massive transfusion requirement with rigors,massive transfusion requirement with rigors
massive transfusion requirement with vomiting,massive transfusion requirement with vomiting
medical certificate request,medical certificate request
medical certificate request in known patient,medical certificate request
"medical certificate request, constant",medical certificate request
"medical certificate request, for 2 days",medical certificate request
"medical certificate request, intermittent",medical certificate request
"medical certificate request, no prior history of this",medical certificate request
"medical certificate request, onset today",medical certificate request
"medical certificate request, since yesterday",medical certificate request
"medical certificate request, worsening with movement",medical certificate request
medical certificate request，worsening over hours,medical certificate request
medical certificate request with associated nausea,medical certificate request with associated nausea
medical certificate request with diaphoresis,medical certificate request with diaphoresis
medical certificate request with fever,medical certificate request with fever
medical certificate request with rigors,medical certificate request with rigors
medical certificate request with vomiting,medical certificate request with vomiting
medication adjustment query,medication adjustment query
medication adjustment query in known patient,medication adjustment query
"medication adjustment query, constant",medication adjustment query
"medication adjustment query, for 2 days",medication adjustment query
"medication adjustment query, intermittent",medication adjustment query
"medication adjustment query, no prior history of this",medication adjustment query
"medication adjustment query, onset today",medication adjustment query
"medication adjustment query, since yesterday",medication adjustment query
"medication adjustment query, worsening with movement",medication adjustment query
medication adjustment query，worsening over hours,medication adjustment query
medication adjustment query with associated nausea,medication adjustment query with associated nausea
medication adjustment query with diaphoresis,medication adjustment query with diaphoresis
medication adjustment query with fever,medication adjustment query with fever
medication adjustment query with rigors,medication adjustment query with rigors
medication adjustment query with vomiting,medication adjustment query with vomiting
medication side effect question,medication side effect question
medication side effect question in known patient,medication side effect question
"medication side effect question, constant",medication side effect question
"medication side effect question, for 2 days",medication side effect question
"medication side effect question, intermittent",medication side effect question
"medication side effect question, no prior history of this",medication side effect question
"medication side effect question, onset today",medication side effect question
"medication side effect question, since yesterday",medication side effect question
"medication side effect question, worsening with movement",medication side effect question
medication side effect question，worsening over hours,medication side effect question
medication side effect question with associated nausea,medication side effect question with associated nausea
medication side effect question with diaphoresis,medication side effect question with diaphoresis
medication side effect question with fever,medication side effect question with fever
medication side effect question with rigors,medication side effect question with rigors
medication side effect question with vomiting,medication side effect question with vomiting
memory complaint mild,memory complaint
memory complaint mild in known patient,memory complaint
"memory complaint mild, constant",memory complaint
"memory complaint mild, for 2 days",memory complaint
"memory complaint mild, intermittent",memory complaint
"memory complaint mild, no prior history of this",memory complaint
"memory complaint mild, onset today",memory complaint
"memory complaint mild, since yesterday",memory complaint
"memory complaint mild, worsening with movement",memory complaint
memory complaint mild，worsening over hours,memory complaint
memory complaint mild with associated nausea,memory complaint  with associated nausea
memory complaint mild with diaphoresis,memory complaint  with diaphoresis
memory complaint mild with fever,memory complaint  with fever
memory complaint mild with rigors,memory complaint  with rigors
memory complaint mild with vomiting,memory complaint  with vomiting
meningitis clinically suspected,meningitis clinically suspected
meningitis clinically suspected in known patient,meningitis clinically suspected
"meningitis clinically suspected, constant",meningitis clinically suspected
"meningitis clinically suspected, for 2 days",meningitis clinically suspected
"meningitis clinically suspected, intermittent",meningitis clinically suspected
"meningitis clinically suspected, no prior history of this",meningitis clinically suspected
"meningitis clinically suspected, onset today",meningitis clinically suspected
"meningitis clinically suspected, since yesterday",meningitis clinically suspected
"meningitis clinically suspected, worsening with movement",meningitis clinically suspected
meningitis clinically suspected，worsening over hours,meningitis clinically suspected
meningitis clinically suspected with associated nausea,meningitis clinically suspected with associated nausea
meningitis clinically suspected with diaphoresis,meningitis clinically suspected with diaphoresis
meningitis clinically suspected with fever,meningitis clinically suspected with fever
meningitis clinically suspected with rigors,meningitis clinically suspected with rigors
meningitis clinically suspected with vomiting,meningitis clinically suspected with vomiting
meningococcal purpura,meningococcal purpura
meningococcal purpura in known patient,meningococcal purpura
"meningococcal purpura, constant",meningococcal purpura
"meningococcal purpura, for 2 days",meningococcal purpura
"meningococcal purpura, intermittent",meningococcal purpura
"meningococcal purpura, no prior history of this",meningococcal purpura
"meningococcal purpura, onset today",meningococcal purpura
"meningococcal purpura, since yesterday",meningococcal purpura
"meningococcal purpura, worsening with movement",meningococcal purpura
meningococcal purpura，worsening over hours,meningococcal purpura
meningococcal purpura with associated nausea,meningococcal purpura with associated nausea
meningococcal purpura with diaphoresis,meningococcal purpura with diaphoresis
meningococcal purpura with fever,meningococcal purpura with fever
meningococcal purpura with rigors,meningococcal purpura with rigors
meningococcal purpura with vomiting,meningococcal purpura with vomiting
meningococcal septicaemia,meningococcal septicaemia
meningococcal septicaemia in known patient,meningococcal septicaemia
"meningococcal septicaemia, constant",meningococcal septicaemia
"meningococcal septicaemia, for 2 days",meningococcal septicaemia
"meningococcal septicaemia, intermittent",meningococcal septicaemia
"meningococcal septicaemia, no prior history of this",meningococcal septicaemia
"meningococcal septicaemia, onset today",meningococcal septicaemia
"meningococcal septicaemia, since yesterday",meningococcal septicaemia
"meningococcal septicaemia, worsening with movement",meningococcal septicaemia
meningococcal septicaemia，worsening over hours,meningococcal septicaemia
meningococcal septicaemia with associated nausea,meningococcal septicaemia with associated nausea
meningococcal septicaemia with diaphoresis,meningococcal septicaemia with diaphoresis
meningococcal septicaemia with fever,meningococcal septicaemia with fever
meningococcal septicaemia with rigors,meningococcal septicaemia with rigors
meningococcal septicaemia with vomiting,meningococcal septicaemia with vomiting
mental health medication review,mental health medication review
mental health medication review in known patient,mental health medication review
"mental health medication review, constant",mental health medication review
"mental health medication review, for 2 days",mental health medication review
"mental health medication review, intermittent",mental health medication review
"mental health medication review, no prior history of this",mental health medication review
"mental health medication review, onset today",mental health medication review
"mental health medication review, since yesterday",mental health medication review
"mental health medication review, worsening with movement",mental health medication review
mental health medication review，worsening over hours,mental health medication review
mental health medication review with associated nausea,mental health medication review with associated nausea
mental health medication review with diaphoresis,mental health medication review with diaphoresis
mental health medication review with fever,mental health medication review with fever
mental health medication review with rigors,mental health medication review with rigors
mental health medication review with vomiting,mental health medication review with vomiting
severe migraine with photophobia,migraine with photophobia
severe migraine with photophobia in known patient,migraine with photophobia
"severe migraine with photophobia, constant",migraine with photophobia
"severe migraine with photophobia, for 2 days",migraine with photophobia
"severe migraine with photophobia, intermittent",migraine with photophobia
"severe migraine with photophobia, no prior history of this",migraine with photophobia
"severe migraine with photophobia, onset today",migraine with photophobia
"severe migraine with photophobia, since yesterday",migraine with photophobia
"severe migraine with photophobia, worsening with movement",migraine with photophobia
severe migraine with photophobia，worsening over hours,migraine with photophobia
severe migraine with photophobia with associated nausea,migraine with photophobia with associated nausea
severe migraine with photophobia with diaphoresis,migraine with photophobia with diaphoresis
severe migraine with photophobia with fever,migraine with photophobia with fever
severe migraine with photophobia with rigors,migraine with photophobia with rigors
severe migraine with photophobia with vomiting,migraine with photophobia with vomiting
multi-system trauma MVA unresponsive,multi-system trauma MVA unresponsive
multi-system trauma MVA unresponsive in known patient,multi-system trauma MVA unresponsive
"multi-system trauma MVA unresponsive, constant",multi-system trauma MVA unresponsive
"multi-system trauma MVA unresponsive, for 2 days",multi-system trauma MVA unresponsive
"multi-system trauma MVA unresponsive, intermittent",multi-system trauma MVA unresponsive
"multi-system trauma MVA unresponsive, no prior history of this",multi-system trauma MVA unresponsive
"multi-system trauma MVA unresponsive, onset today",multi-system trauma MVA unresponsive
"multi-system trauma MVA unresponsive, since yesterday",multi-system trauma MVA unresponsive
"multi-system trauma MVA unresponsive, worsening with movement",multi-system trauma MVA unresponsive
multi-system trauma MVA unresponsive，worsening over hours,multi-system trauma MVA unresponsive
multi-system trauma MVA unresponsive with associated nausea,multi-system trauma MVA unresponsive with associated nausea
multi-system trauma MVA unresponsive with diaphoresis,multi-system trauma MVA unresponsive with diaphoresis
multi-system trauma MVA unresponsive with fever,multi-system trauma MVA unresponsive with fever
multi-system trauma MVA unresponsive with rigors,multi-system trauma MVA unresponsive with rigors
multi-system trauma MVA unresponsive with vomiting,multi-system trauma MVA unresponsive with vomiting
muscle strain,muscle strain
muscle strain in known patient,muscle strain
"muscle strain, constant",muscle strain
"muscle strain, for 2 days",muscle strain
"muscle strain, intermittent",muscle strain
"muscle strain, no prior history of this",muscle strain
"muscle strain, onset today",muscle strain
"muscle strain, since yesterday",muscle strain
"muscle strain, worsening with movement",muscle strain
muscle strain，worsening over hours,muscle strain
muscle strain with associated nausea,muscle strain with associated nausea
muscle strain with diaphoresis,muscle strain with diaphoresis
muscle strain with fever,muscle strain with fever
muscle strain with rigors,muscle strain with rigors
muscle strain with vomiting,muscle strain with vomiting
nasal congestion,nasal congestion
nasal congestion in known patient,nasal congestion
"nasal congestion, constant",nasal congestion
"nasal congestion, for 2 days",nasal congestion
"nasal congestion, intermittent",nasal congestion
"nasal congestion, no prior history of this",nasal congestion
"nasal congestion, onset today",nasal congestion
"nasal congestion, since yesterday",nasal congestion
"nasal congestion, worsening with movement",nasal congestion
nasal congestion，worsening over hours,nasal congestion
nasal congestion and runny nose,nasal congestion and runny nose
nasal congestion and runny nose in known patient,nasal congestion and runny nose
"nasal congestion and runny nose, constant",nasal congestion and runny nose
"nasal congestion and runny nose, for 2 days",nasal congestion and runny nose
"nasal congestion and runny nose, intermittent",nasal congestion and runny nose
"nasal congestion and runny nose, no prior history of this",nasal congestion and runny nose
"nasal congestion and runny nose, onset today",nasal congestion and runny nose
"nasal congestion and runny nose, since yesterday",nasal congestion and runny nose
"nasal congestion and runny nose, worsening with movement",nasal congestion and runny nose
nasal congestion and runny nose，worsening over hours,nasal congestion and runny nose
nasal congestion and runny nose with associated nausea,nasal congestion and runny nose with associated nausea
nasal congestion and runny nose with diaphoresis,nasal congestion and runny nose with diaphoresis
nasal congestion and runny nose with fever,nasal congestion and runny nose with fever
nasal congestion and runny nose with rigors,nasal congestion and runny nose with rigors
nasal congestion and runny nose with vomiting,nasal congestion and runny nose with vomiting
nasal congestion with associated nausea,nasal congestion with associated nausea
nasal congestion with diaphoresis,nasal congestion with diaphoresis
nasal congestion with fever,nasal congestion with fever
nasal congestion with rigors,nasal congestion with rigors
nasal congestion with vomiting,nasal congestion with vomiting
nausea and vomiting without blood,nausea and vomiting without blood
nausea and vomiting without blood in known patient,nausea and vomiting without blood
"nausea and vomiting without blood, constant",nausea and vomiting without blood
"nausea and vomiting without blood, for 2 days",nausea and vomiting without blood
"nausea and vomiting without blood, intermittent",nausea and vomiting without blood
"nausea and vomiting without blood, no prior history of this",nausea and vomiting without blood
"nausea and vomiting without blood, onset today",nausea and vomiting without blood
"nausea and vomiting without blood, since yesterday",nausea and vomiting without blood
"nausea and vomiting without blood, worsening with movement",nausea and vomiting without blood
nausea and vomiting without blood，worsening over hours,nausea and vomiting without blood
nausea and vomiting without blood with associated nausea,nausea and vomiting without blood with associated nausea
nausea and vomiting without blood with diaphoresis,nausea and vomiting without blood with diaphoresis
nausea and vomiting without blood with fever,nausea and vomiting without blood with fever
nausea and vomiting without blood with rigors,nausea and vomiting without blood with rigors
nausea and vomiting without blood with vomiting,nausea and vomiting without blood with vomiting
mild nausea resolved,nausea resolved
mild nausea resolved in known patient,nausea resolved
"mild nausea resolved, constant",nausea resolved
"mild nausea resolved, for 2 days",nausea resolved
"mild nausea resolved, intermittent",nausea resolved
"mild nausea resolved, no prior history of this",nausea resolved
"mild nausea resolved, onset today",nausea resolved
"mild nausea resolved, since yesterday",nausea resolved
"mild nausea resolved, worsening with movement",nausea resolved
mild nausea resolved，worsening over hours,nausea resolved
mild nausea resolved with associated nausea,nausea resolved with associated nausea
mild nausea resolved with diaphoresis,nausea resolved with diaphoresis
mild nausea resolved with fever,nausea resolved with fever
mild nausea resolved with rigors,nausea resolved with rigors
mild nausea resolved with vomiting,nausea resolved with vomiting
near-drowning,near-drowning
near-drowning in known patient,near-drowning
"near-drowning, constant",near-drowning
"near-drowning, for 2 days",near-drowning
"near-drowning, intermittent",near-drowning
"near-drowning, no prior history of this",near-drowning
"near-drowning, onset today",near-drowning
"near-drowning, since yesterday",near-drowning
"near-drowning, worsening with movement",near-drowning
near-drowning，worsening over hours,near-drowning
near-drowning with associated nausea,near-drowning with associated nausea
near-drowning with diaphoresis,near-drowning with diaphoresis
near-drowning with fever,near-drowning with fever
near-drowning with rigors,near-drowning with rigors
near-drowning with vomiting,near-drowning with vomiting
necrotising fasciitis,necrotising fasciitis
necrotising fasciitis in known patient,necrotising fasciitis
"necrotising fasciitis, constant",necrotising fasciitis
"necrotising fasciitis, for 2 days",necrotising fasciitis
"necrotising fasciitis, intermittent",necrotising fasciitis
"necrotising fasciitis, no prior history of this",necrotising fasciitis
"necrotising fasciitis, onset today",necrotising fasciitis
"necrotising fasciitis, since yesterday",necrotising fasciitis
"necrotising fasciitis, worsening with movement",necrotising fasciitis
necrotising fasciitis，worsening over hours,necrotising fasciitis
necrotising fasciitis rapid spread,necrotising fasciitis rapid spread
necrotising fasciitis rapid spread in known patient,necrotising fasciitis rapid spread
"necrotising fasciitis rapid spread, constant",necrotising fasciitis rapid spread
"necrotising fasciitis rapid spread, for 2 days",necrotising fasciitis rapid spread
"necrotising fasciitis rapid spread, intermittent",necrotising fasciitis rapid spread
"necrotising fasciitis rapid spread, no prior history of this",necrotising fasciitis rapid spread
"necrotising fasciitis rapid spread, onset today",necrotising fasciitis rapid spread
"necrotising fasciitis rapid spread, since yesterday",necrotising fasciitis rapid spread
"necrotising fasciitis rapid spread, worsening with movement",necrotising fasciitis rapid spread
necrotising fasciitis rapid spread，worsening over hours,necrotising fasciitis rapid spread
necrotising fasciitis rapid spread with associated nausea,necrotising fasciitis rapid spread with associated nausea
necrotising fasciitis rapid spread with diaphoresis,necrotising fasciitis rapid spread with diaphoresis
necrotising fasciitis rapid spread with fever,necrotising fasciitis rapid spread with fever
necrotising fasciitis rapid spread with rigors,necrotising fasciitis rapid spread with rigors
necrotising fasciitis rapid spread with vomiting,necrotising fasciitis rapid spread with vomiting
necrotising fasciitis with associated nausea,necrotising fasciitis with associated nausea
necrotising fasciitis with diaphoresis,necrotising fasciitis with diaphoresis
necrotising fasciitis with fever,necrotising fasciitis with fever
necrotising fasciitis with rigors,necrotising fasciitis with rigors
necrotising fasciitis with vomiting,necrotising fasciitis with vomiting
new facial droop resolved,new facial droop resolved
new facial droop resolved in known patient,new facial droop resolved
"new facial droop resolved, constant",new facial droop resolved
"new facial droop resolved, for 2 days",new facial droop resolved
"new facial droop resolved, intermittent",new facial droop resolved
"new facial droop resolved, no prior history of this",new facial droop resolved
"new facial droop resolved, onset today",new facial droop resolved
"new facial droop resolved, since yesterday",new facial droop resolved
"new facial droop resolved, worsening with movement",new facial droop resolved
new facial droop resolved，worsening over hours,new facial droop resolved
new facial droop resolved with associated nausea,new facial droop resolved with associated nausea
new facial droop resolved with diaphoresis,new facial droop resolved with diaphoresis
new facial droop resolved with fever,new facial droop resolved with fever
new facial droop resolved with rigors,new facial droop resolved with rigors
new facial droop resolved with vomiting,new facial droop resolved with vomiting
new onset atrial fibrillation,new onset atrial fibrillation
new onset atrial fibrillation in known patient,new onset atrial fibrillation
"new onset atrial fibrillation, constant",new onset atrial fibrillation
"new onset atrial fibrillation, for 2 days",new onset atrial fibrillation
"new onset atrial fibrillation, intermittent",new onset atrial fibrillation
"new onset atrial fibrillation, no prior history of this",new onset atrial fibrillation
"new onset atrial fibrillation, onset today",new onset atrial fibrillation
"new onset atrial fibrillation, since yesterday",new onset atrial fibrillation
"new onset atrial fibrillation, worsening with movement",new onset atrial fibrillation
new onset atrial fibrillation，worsening over hours,new onset atrial fibrillation
new onset atrial fibrillation with associated nausea,new onset atrial fibrillation with associated nausea
new onset atrial fibrillation with diaphoresis,new onset atrial fibrillation with diaphoresis
new onset atrial fibrillation with fever,new onset atrial fibrillation with fever
new onset atrial fibrillation with rigors,new onset atrial fibrillation with rigors
new onset atrial fibrillation with vomiting,new onset atrial fibrillation with vomiting
new productive cough with night sweats,new productive cough with night sweats
new productive cough with night sweats in known patient,new productive cough with night sweats
"new productive cough with night sweats, constant",new productive cough with night sweats
"new productive cough with night sweats, for 2 days",new productive cough with night sweats
"new productive cough with night sweats, intermittent",new productive cough with night sweats
"new productive cough with night sweats, no prior history of this",new productive cough with night sweats
"new productive cough with night sweats, onset today",new productive cough with night sweats
"new productive cough with night sweats, since yesterday",new productive cough with night sweats
"new productive cough with night sweats, worsening with movement",new productive cough with night sweats
new productive cough with night sweats，worsening over hours,new productive cough with night sweats
new productive cough with night sweats with associated nausea,new productive cough with night sweats with associated nausea
new productive cough with night sweats with diaphoresis,new productive cough with night sweats with diaphoresis
new productive cough with night sweats with fever,new productive cough with night sweats with fever
new productive cough with night sweats with rigors,new productive cough with night sweats with rigors
new productive cough with night sweats with vomiting,new productive cough with night sweats with vomiting
new-onset jaundice,new-onset jaundice
new-onset jaundice in known patient,new-onset jaundice
"new-onset jaundice, constant",new-onset jaundice
"new-onset jaundice, for 2 days",new-onset jaundice
"new-onset jaundice, intermittent",new-onset jaundice
"new-onset jaundice, no prior history of this",new-onset jaundice
"new-onset jaundice, onset today",new-onset jaundice
"new-onset jaundice, since yesterday",new-onset jaundice
"new-onset jaundice, worsening with movement",new-onset jaundice
new-onset jaundice，worsening over hours,new-onset jaundice
new-onset jaundice with associated nausea,new-onset jaundice with associated nausea
new-onset jaundice with diaphoresis,new-onset jaundice with diaphoresis
new-onset jaundice with fever,new-onset jaundice with fever
new-onset jaundice with rigors,new-onset jaundice with rigors
new-onset jaundice with vomiting,new-onset jaundice with vomiting
non-bloody diarrhoea,non-bloody diarrhoea
non-bloody diarrhoea in known patient,non-bloody diarrhoea
"non-bloody diarrhoea, constant",non-bloody diarrhoea
"non-bloody diarrhoea, for 2 days",non-bloody diarrhoea
"non-bloody diarrhoea, intermittent",non-bloody diarrhoea
"non-bloody diarrhoea, no prior history of this",non-bloody diarrhoea
"non-bloody diarrhoea, onset today",non-bloody diarrhoea
"non-bloody diarrhoea, since yesterday",non-bloody diarrhoea
"non-bloody diarrhoea, worsening with movement",non-bloody diarrhoea
non-bloody diarrhoea，worsening over hours,non-bloody diarrhoea
non-bloody diarrhoea with associated nausea,non-bloody diarrhoea with associated nausea
non-bloody diarrhoea with diaphoresis,non-bloody diarrhoea with diaphoresis
non-bloody diarrhoea with fever,non-bloody diarrhoea with fever
non-bloody diarrhoea with rigors,non-bloody diarrhoea with rigors
non-bloody diarrhoea with vomiting,non-bloody diarrhoea with vomiting
non-specific skin rash afebrile,non-specific skin rash afebrile
non-specific skin rash afebrile in known patient,non-specific skin rash afebrile
"non-specific skin rash afebrile, constant",non-specific skin rash afebrile
"non-specific skin rash afebrile, for 2 days",non-specific skin rash afebrile
"non-specific skin rash afebrile, intermittent",non-specific skin rash afebrile
"non-specific skin rash afebrile, no prior history of this",non-specific skin rash afebrile
"non-specific skin rash afebrile, onset today",non-specific skin rash afebrile
"non-specific skin rash afebrile, since yesterday",non-specific skin rash afebrile
"non-specific skin rash afebrile, worsening with movement",non-specific skin rash afebrile
non-specific skin rash afebrile，worsening over hours,non-specific skin rash afebrile
non-specific skin rash afebrile with associated nausea,non-specific skin rash afebrile with associated nausea
non-specific skin rash afebrile with diaphoresis,non-specific skin rash afebrile with diaphoresis
non-specific skin rash afebrile with fever,non-specific skin rash afebrile with fever
non-specific skin rash afebrile with rigors,non-specific skin rash afebrile with rigors
non-specific skin rash afebrile with vomiting,non-specific skin rash afebrile with vomiting
non-urgent review,non-urgent review
non-urgent review in known patient,non-urgent review
"non-urgent review, constant",non-urgent review
"non-urgent review, for 2 days",non-urgent review
"non-urgent review, intermittent",non-urgent review
"non-urgent review, no prior history of this",non-urgent review
"non-urgent review, onset today",non-urgent review
"non-urgent review, since yesterday",non-urgent review
"non-urgent review, worsening with movement",non-urgent review
non-urgent review，worsening over hours,non-urgent review
non-urgent review with associated nausea,non-urgent review with associated nausea
non-urgent review with diaphoresis,non-urgent review with diaphoresis
non-urgent review with fever,non-urgent review with fever
non-urgent review with rigors,non-urgent review with rigors
non-urgent review with vomiting,non-urgent review with vomiting
obstruction with bilious vomiting,obstruction with bilious vomiting
obstruction with bilious vomiting in known patient,obstruction with bilious vomiting
"obstruction with bilious vomiting, constant",obstruction with bilious vomiting
"obstruction with bilious vomiting, for 2 days",obstruction with bilious vomiting
"obstruction with bilious vomiting, intermittent",obstruction with bilious vomiting
"obstruction with bilious vomiting, no prior history of this",obstruction with bilious vomiting
"obstruction with bilious vomiting, onset today",obstruction with bilious vomiting
"obstruction with bilious vomiting, since yesterday",obstruction with bilious vomiting
"obstruction with bilious vomiting, worsening with movement",obstruction with bilious vomiting
obstruction with bilious vomiting，worsening over hours,obstruction with bilious vomiting
obstruction with bilious vomiting with associated nausea,obstruction with bilious vomiting with associated nausea
obstruction with bilious vomiting with diaphoresis,obstruction with bilious vomiting with diaphoresis
obstruction with bilious vomiting with fever,obstruction with bilious vomiting with fever
obstruction with bilious vomiting with rigors,obstruction with bilious vomiting with rigors
obstruction with bilious vomiting with vomiting,obstruction with bilious vomiting with vomiting
one week cough,one week cough
one week cough in known patient,one week cough
"one week cough, constant",one week cough
"one week cough, for 2 days",one week cough
"one week cough, intermittent",one week cough
"one week cough, no prior history of this",one week cough
"one week cough, onset today",one week cough
"one week cough, since yesterday",one week cough
"one week cough, worsening with movement",one week cough
one week cough，worsening over hours,one week cough
one week cough with associated nausea,one week cough with associated nausea
one week cough with diaphoresis,one week cough with diaphoresis
one week cough with fever,one week cough with fever
one week cough with rigors,one week cough with rigors
one week cough with vomiting,one week cough with vomiting
ongoing seizure,ongoing seizure
ongoing seizure in known patient,ongoing seizure
"ongoing seizure, constant",ongoing seizure
"ongoing seizure, for 2 days",ongoing seizure
"ongoing seizure, intermittent",ongoing seizure
"ongoing seizure, no prior history of this",ongoing seizure
"ongoing seizure, onset today",ongoing seizure
"ongoing seizure, since yesterday",ongoing seizure
"ongoing seizure, worsening with movement",ongoing seizure
ongoing seizure，worsening over hours,ongoing seizure
ongoing seizure with associated nausea,ongoing seizure with associated nausea
ongoing seizure with diaphoresis,ongoing seizure with diaphoresis
ongoing seizure with fever,ongoing seizure with fever
ongoing seizure with rigors,ongoing seizure with rigors
ongoing seizure with vomiting,ongoing seizure with vomiting
open femur fracture,open femur fracture
open femur fracture in known patient,open femur fracture
"open femur fracture, constant",open femur fracture
"open femur fracture, for 2 days",open femur fracture
"open femur fracture, intermittent",open femur fracture
"open femur fracture, no prior history of this",open femur fracture
"open femur fracture, onset today",open femur fracture
"open femur fracture, since yesterday",open femur fracture
"open femur fracture, worsening with movement",open femur fracture
open femur fracture，worsening over hours,open femur fracture
open femur fracture with associated nausea,open femur fracture with associated nausea
open femur fracture with diaphoresis,open femur fracture with diaphoresis
open femur fracture with fever,open femur fracture with fever
open femur fracture with rigors,open femur fracture with rigors
open femur fracture with vomiting,open femur fracture with vomiting
open fracture with contamination,open fracture with contamination
open fracture with contamination in known patient,open fracture with contamination
"open fracture with contamination, constant",open fracture with contamination
"open fracture with contamination, for 2 days",open fracture with contamination
"open fracture with contamination, intermittent",open fracture with contamination
"open fracture with contamination, no prior history of this",open fracture with contamination
"open fracture with contamination, onset today",open fracture with contamination
"open fracture with contamination, since yesterday",open fracture with contamination
"open fracture with contamination, worsening with movement",open fracture with contamination
open fracture with contamination，worsening over hours,open fracture with contamination
open fracture with contamination with associated nausea,open fracture with contamination with associated nausea
open fracture with contamination with diaphoresis,open fracture with contamination with diaphoresis
open fracture with contamination with fever,open fracture with contamination with fever
open fracture with contamination with rigors,open fracture with contamination with rigors
open fracture with contamination with vomiting,open fracture with contamination with vomiting
orbital cellulitis,orbital cellulitis
orbital cellulitis in known patient,orbital cellulitis
"orbital cellulitis, constant",orbital cellulitis
"orbital cellulitis, for 2 days",orbital cellulitis
"orbital cellulitis, intermittent",orbital cellulitis
"orbital cellulitis, no prior history of this",orbital cellulitis
"orbital cellulitis, onset today",orbital cellulitis
"orbital cellulitis, since yesterday",orbital cellulitis
"orbital cellulitis, worsening with movement",orbital cellulitis
orbital cellulitis，worsening over hours,orbital cellulitis
orbital cellulitis with associated nausea,orbital cellulitis with associated nausea
orbital cellulitis with diaphoresis,orbital cellulitis with diaphoresis
orbital cellulitis with fever,orbital cellulitis with fever
orbital cellulitis with rigors,orbital cellulitis with rigors
orbital cellulitis with vomiting,orbital cellulitis with vomiting
otitis media with complications,otitis media with complications
otitis media with complications in known patient,otitis media with complications
"otitis media with complications, constant",otitis media with complications
"otitis media with complications, for 2 days",otitis media with complications
"otitis media with complications, intermittent",otitis media with complications
"otitis media with complications, no prior history of this",otitis media with complications
"otitis media with complications, onset today",otitis media with complications
"otitis media with complications, since yesterday",otitis media with complications
"otitis media with complications, worsening with movement",otitis media with complications
otitis media with complications，worsening over hours,otitis media with complications
otitis media with complications with associated nausea,otitis media with complications with associated nausea
otitis media with complications with diaphoresis,otitis media with complications with diaphoresis
otitis media with complications with fever,otitis media with complications with fever
otitis media with complications with rigors,otitis media with complications with rigors
otitis media with complications with vomiting,otitis media with complications with vomiting
ovarian torsion,ovarian torsion
ovarian torsion in known patient,ovarian torsion
"ovarian torsion, constant",ovarian torsion
"ovarian torsion, for 2 days",ovarian torsion
"ovarian torsion, intermittent",ovarian torsion
"ovarian torsion, no prior history of this",ovarian torsion
"ovarian torsion, onset today",ovarian torsion
"ovarian torsion, since yesterday",ovarian torsion
"ovarian torsion, worsening with movement",ovarian torsion
ovarian torsion，worsening over hours,ovarian torsion
ovarian torsion with associated nausea,ovarian torsion with associated nausea
ovarian torsion with diaphoresis,ovarian torsion with diaphoresis
ovarian torsion with fever,ovarian torsion with fever
ovarian torsion with rigors,ovarian torsion with rigors
severe ovarian torsion with shock,ovarian torsion with shock
severe ovarian torsion with shock in known patient,ovarian torsion with shock
"severe ovarian torsion with shock, constant",ovarian torsion with shock
"severe ovarian torsion with shock, for 2 days",ovarian torsion with shock
"severe ovarian torsion with shock, intermittent",ovarian torsion with shock
"severe ovarian torsion with shock, no prior history of this",ovarian torsion with shock
"severe ovarian torsion with shock, onset today",ovarian torsion with shock
"severe ovarian torsion with shock, since yesterday",ovarian torsion with shock
"severe ovarian torsion with shock, worsening with movement",ovarian torsion with shock
severe ovarian torsion with shock，worsening over hours,ovarian torsion with shock
severe ovarian torsion with shock with associated nausea,ovarian torsion with shock with associated nausea
severe ovarian torsion with shock with diaphoresis,ovarian torsion with shock with diaphoresis
severe ovarian torsion with shock with fever,ovarian torsion with shock with fever
severe ovarian torsion with shock with rigors,ovarian torsion with shock with rigors
severe ovarian torsion with shock with vomiting,ovarian torsion with shock with vomiting
ovarian torsion with vomiting,ovarian torsion with vomiting
overdose unknown substance,overdose unknown substance
overdose unknown substance in known patient,overdose unknown substance
"overdose unknown substance, constant",overdose unknown substance
